"latitude","longitude","name","desc","color"
50.8462807,4.3547273,Brussels,"Brussels, Belgium",
41.33165,19.8318,Tirana,"Tirana, Albania",
42.5075025,1.5218033,Andorra la Vella,"Andorra la Vella, Andorra",
48.2092062,16.3727778,Vienna,"Vienna, Austria",
53.905117,27.5611845,Minsk,"Minsk, Belarus",
43.85643,18.41342,Sarajevo,"Sarajevo, Bosnia and Herzegovina",
42.6976246,23.3222924,Sofia,"Sofia, Bulgaria",
45.8150053,15.9785014,Zagreb,"City of Zagreb, Croatia",
35.167604,33.373621,Nicosia,"Nicosia, Cyprus",
50.0878114,14.4204598,Prague,"Prague, Czech Republic",
55.6762944,12.5681157,Copenhagen,"Copenhagen, Denmark",
51.5001524,-0.1262362,London,"Westminster, London, UK",
59.4388619,24.7544715,Tallinn,"Tallinn, Estonia",
60.1698791,24.9384078,Helsinki,"Helsinki, Finland",
48.8566667,2.3509871,Paris,"Paris, France",
43.296386,5.369954,Marseille,"Marseille, France",
41.709981,44.792998,Tbilisi,"Tbilisi, Georgia",
52.5234051,13.4113999,Berlin,"Berlin, Germany",
37.97918,23.716647,Athens,"Athens, Greece",
47.4984056,19.0407578,Budapest,"Budapest, Hungary",
64.135338,-21.89521,Reykjavik,"Reykjavík, Iceland",
53.344104,-6.2674937,Dublin,"Dublin, Co. Dublin City, Ireland",
41.8954656,12.4823243,Rome,"Rome, Italy",
42.672421,21.164539,Pristina,"Prishtinë, Kosovo",
56.9465346,24.1048525,Riga,"Riga, Latvia",
47.1410409,9.5214458,Vaduz,"Vaduz, Liechtenstein",
54.6893865,25.2800243,Vilnius,"Vilnius, LIthuania",
49.815273,6.129583,Luxembourg,Luxembourg,
42.003812,21.452246,Skopje,"Skopje, Macedonia",
35.904171,14.518907,Valletta,"Valletta, Malta",
47.026859,28.841551,Chisinau,"Chisinau, Moldova",
43.750298,7.412841,Monaco,Monaco,
42.442575,19.268646,Podgorica,"Podgorica, Montenegro",
52.3738007,4.8909347,Amsterdam,"Amsterdam, The Netherlands",
54.5972686,-5.9301088,Belfast,"Belfast, UK",
59.9138204,10.7387413,Oslo,"Oslo, Norway",
52.2296756,21.0122287,Warsaw,"Warsaw, Poland",
38.7071631,-9.135517,Lisbon,"Lisbon, Portugal",
44.430481,26.12298,Bucharest,"Bucharest, Romania",
55.755786,37.617633,Moscow,"Russian Federation, Moscow",
43.94236,12.457777,San Marino,San Marino,
55.9501755,-3.1875359,Edinburgh,"Edinburgh, City of Edinburgh, UK",
44.802416,20.465601,Belgrade,"Belgrade, Serbia",
48.1483765,17.1073105,Bratislava,"Bratislava, Slovakia",
46.0514263,14.5059655,Ljubljana,"Ljubljana, Slovenia",
40.4166909,-3.7003454,Madrid,"Madrid, Spain",
59.3327881,18.0644881,Stockholm,"Stockholm, Sweden",
46.9479986,7.4481481,Bern,"Berne, Switzerland",
50.440951,30.5271814,Kiev,"Kiev, Ukraine",
51.4813069,-3.1804979,Cardiff,"Cardiff, UK",
